,pin average impedance 10044 0,pin average impedance 10044 1,pin average impedance 10044 2,pin average impedance 10044 3,pin average impedance 10044 4,pin average impedance 10044 5,pin average impedance 10044 6,pin average impedance 10044 7,pin average impedance 10044 8,pin average impedance 10044 9,pin average impedance 10044 10,pin average impedance 10044 11,pin average impedance 10044 12,pin average impedance 10044 13,pin average impedance 00000004 0,pin average impedance 00000004 1,pin average impedance 00000004 2,pin average impedance 00000004 3,pin average impedance 00000004 4,pin average impedance 00000004 5,pin average impedance 00000004 6,pin average impedance 00000004 7,pin average impedance 00000004 8,pin average impedance 00000004 9,pin average impedance 00000004 10,pin average impedance 00000004 11,pin average impedance 10045 0,pin average impedance 10045 1,pin average impedance 10045 2,pin average impedance 10045 3,pin average impedance 47 0,pin average impedance 47 1,pin average impedance 47 2,pin average impedance 47 3,pin average impedance 47 4
13,1062.73771668,1056.83447265,1084.7397461,1068.28044128,1108.81983948,1058.12133789,1071.69805908,1070.49333191,1055.10380554,1059.94961548,1067.35093689,1053.08087158,1063.43414307,1066.6146698,1361.11888122,1355.01031494,1376.35845947,1338.26139832,1343.2305603,1344.4377594,1362.17552185,1331.70578003,1341.69003296,1342.51254273,1329.75709534,1348.50094604,1149.58296204,1132.36201477,1077.72634888,1106.68714905,1272.60707093,1200.87542724,1210.38169861,1196.61532593,1227.79116822
14,552.943557739,551.077987671,567.057342529,553.324050903,600.547576904,554.016029358,562.487289429,586.088005066,547.310913086,556.743003845,558.844833374,549.173484802,559.431381226,557.892089844,917.335838318,900.579444885,915.539070129,881.371246338,896.204307556,892.821907043,921.170280456,884.730941773,895.402793884,895.879196167,884.068878174,899.099105835,649.591613769,646.36403656,571.047088623,598.016868591,728.692649841,663.200767517,668.824630737,663.315704346,680.374656677
15,596.488037109,589.833099365,607.849128723,594.381538391,640.939483643,593.227401733,602.647850037,628.5001297,585.495704651,592.997497559,596.244148254,585.722167969,593.337135315,594.560562134,951.231826782,936.146697998,946.472763062,917.606491089,928.136192322,922.61164093,953.375297546,915.734527588,926.030792236,926.43737793,916.668922424,935.218139649,693.062454224,686.558670044,609.93989563,641.413619995,784.583030701,707.631713867,715.50340271,704.364028931,728.6509552
16,1180.28533935,1177.63345337,1203.6018219,1171.57583618,1203.10810852,1180.81867981,1199.12007141,1182.18113708,1172.35565186,1178.35560608,1174.89575195,1179.98226929,1185.87333679,1189.23310852,1438.53407288,1449.59259033,1461.19706726,1428.08908081,1432.94888306,1422.23524475,1425.91093445,1412.73907471,1428.40632629,1427.74693298,1409.91636658,1437.30378723,1198.32119751,1209.81036377,1174.56257629,1174.98196411,1323.93084717,1289.22273254,1297.06242371,1279.64788818,1301.23730469
17,651.491226197,647.254348755,662.363586426,647.114204407,698.804588318,651.198059082,662.791267395,680.540458679,650.259048462,652.43914032,653.660636902,647.865219116,653.584495544,659.563873291,1002.45733643,1003.70392609,1009.58254242,974.990386963,985.438179016,979.780715942,1006.60511017,973.523277283,983.867591858,988.813453674,971.258255005,996.84197998,725.975746155,726.027023315,662.832199096,681.25843811,819.947654724,762.103271484,775.127807617,762.935813904,784.379997253
18,1052.89115906,1050.8457489,1071.01501465,1046.26893616,1080.13439941,1050.53079224,1070.11535644,1058.86746216,1043.42108154,1052.39335633,1044.40197754,1048.38993835,1050.80664063,1057.86785889,1364.47032165,1370.02996826,1391.36883545,1350.68385315,1357.87826538,1344.52157593,1354.71107483,1342.47383118,1354.75161743,1356.99702454,1339.63162231,1359.33692932,1089.64190674,1097.30786133,1062.48658752,1066.3309021,1213.86724853,1176.34564209,1181.21853638,1168.10577392,1193.3461914
19,864.61844635,853.30846405,875.373092651,863.038581848,897.384529114,856.719291687,875.538444519,874.688575745,856.627822876,862.304733276,862.427017212,859.929733276,865.831474304,863.264068604,1202.95361328,1201.06787109,1211.68882751,1183.41487122,1185.78637695,1178.4533844,1193.98440552,1175.31205749,1192.16117859,1193.71749878,1177.64268494,1187.99021912,909.500213623,916.675209045,873.419830322,885.442710876,1023.61066437,973.941818237,985.146209717,975.11050415,992.565223694
20,457.888339996,457.625576019,467.452636719,449.019191742,498.208942413,458.536140442,466.059555054,492.558094025,457.719585419,458.588756561,450.68164444,454.383529663,457.527828216,466.757362366,787.278419495,787.714988708,787.342842102,771.685249329,783.028274536,769.984710694,791.977043152,771.320602417,773.679100037,781.412239075,767.91381073,790.055671692,490.221233368,506.33309555,466.164154053,471.618816376,564.235466003,542.591369629,550.741790772,540.604866028,552.628875732
21,532.300056457,531.783790589,545.62877655,519.120384216,569.251708984,542.114501953,548.654541016,560.986824036,530.174835205,536.036682129,523.050643921,528.306915283,534.655044556,547.954818726,854.569610596,866.992591858,865.369026184,841.785362244,856.822402954,838.920082092,862.706176758,840.010604858,843.031028748,850.508110047,836.706436157,860.034156799,574.989006042,577.365501404,537.74320221,550.241271973,647.170440674,622.754798889,632.450454712,619.207862854,633.177139282
22,1070.73464966,1067.51516724,1089.32290649,1062.78063965,1096.69216919,1073.90032959,1087.41046143,1074.22781372,1066.0085907,1073.14448547,1064.80024719,1070.79597473,1075.22471619,1085.16749573,1370.44462585,1379.06794739,1390.31559753,1359.90934754,1370.93867493,1353.12475586,1356.90795898,1348.93629456,1366.72492981,1366.12904358,1348.36508179,1371.12434387,1100.88179016,1111.96429443,1079.54412842,1086.92558289,1225.76852417,1199.74232483,1206.60552979,1191.76231384,1210.94592285
